District,Month,Visitors
Jogulamba Gadwal ,December,184380
Kamareddy ,January,45
Kamareddy ,February,42
Kamareddy ,March,30
Kamareddy ,April,
Kamareddy ,May,
Kamareddy ,June,
Kamareddy ,July,38
Kamareddy ,August,42
Kamareddy ,September,55
Kamareddy ,October,39
Kamareddy ,November,46
Kamareddy ,December,48
Karimnagar ,January,12057
Karimnagar ,February,8359
Karimnagar ,March,6100
Karimnagar ,April,
Karimnagar ,May,
Karimnagar ,June,540
Karimnagar ,July,850
Karimnagar ,August,2500
Karimnagar ,September,2250
Karimnagar ,October,3258
Karimnagar ,November,4100
Karimnagar ,December,4200
Khammam,January,114752
Khammam,February,114417
Khammam,March,57137
Khammam,April,
Khammam,May,
Khammam,June,12806
Khammam,July,9104
Khammam,August,7942
Khammam,September,9078
Khammam,October,27858
Khammam,November,40647
Khammam,December,37084
Komaram Bheem Asifabad,January,2463
Komaram Bheem Asifabad,February,1593
Komaram Bheem Asifabad,March,812
Komaram Bheem Asifabad,April,
Komaram Bheem Asifabad,May,
Komaram Bheem Asifabad,June,60
Komaram Bheem Asifabad,July,56
Komaram Bheem Asifabad,August,55
Komaram Bheem Asifabad,September,165
Komaram Bheem Asifabad,October,533
Komaram Bheem Asifabad,November,637
Komaram Bheem Asifabad,December,649
Mahabubabad ,January,12290
Mahabubabad ,February,12180
Mahabubabad ,March,8300
Mahabubabad ,April,
Mahabubabad ,May,
Mahabubabad ,June,
Mahabubabad ,July,1400
Mahabubabad ,August,1800
Mahabubabad ,September,1950
Mahabubabad ,October,2200
Mahabubabad ,November,3450
Mahabubabad ,December,3370
Mahbubnagar,January,122530
Mahbubnagar,February,552303
Mahbubnagar,March,25577
Mahbubnagar,April,
Mahbubnagar,May,
Mahbubnagar,June,20956
Mahbubnagar,July,60255
Mahbubnagar,August,73928
Mahbubnagar,September,135984
Mahbubnagar,October,94083
Mahbubnagar,November,98683
Mahbubnagar,December,111514
Mancherial,January,25661
Mancherial,February,41809
Mancherial,March,9855
Mancherial,April,
Mancherial,May,
Mancherial,June,210
Mancherial,July,290
Mancherial,August,302
Mancherial,September,2758
Mancherial,October,4745
Mancherial,November,6717
Mancherial,December,10439
Medak ,January,286340
Medak ,February,818750
Medak ,March,288800
Medak ,April,
Medak ,May,
Medak ,June,5300
Medak ,July,4325
Medak ,August,15380
Medak ,September,15880
Medak ,October,17380
Medak ,November,45000
Medak ,December,55000
Medchal ,January, 
Medchal ,February, 
Medchal ,March, 
Medchal ,April, 
Medchal ,May, 
Medchal ,June, 
Medchal ,July, 
Medchal ,August, 
Medchal ,September, 
Medchal ,October, 
Medchal ,November, 
Medchal ,December, 
Mulugu,January,3653000
Mulugu,February,9157200
Mulugu,March,118500
Mulugu,April,
Mulugu,May,
Mulugu,June,
Mulugu,July,4550
Mulugu,August,8300
Mulugu,September,11300
Mulugu,October,17600
Mulugu,November,57200
Mulugu,December,60900
Nagarkurnool ,January,228812
Nagarkurnool ,February,286258
Nagarkurnool ,March,32333
Nagarkurnool ,April,
Nagarkurnool ,May,
Nagarkurnool ,June,34508
Nagarkurnool ,July,66655
Nagarkurnool ,August,80155
Nagarkurnool ,September,175712
Nagarkurnool ,October,95788
Nagarkurnool ,November,77869
Nagarkurnool ,December,85280
Nalgonda,January,10127
Nalgonda,February,9154
Nalgonda,March,772
Nalgonda,April,
Nalgonda,May,
Nalgonda,June,218
Nalgonda,July,224
Nalgonda,August,558
Nalgonda,September,2480
Nalgonda,October,8541
Nalgonda,November,6242
Nalgonda,December,8514
Narayanapet,January,47272
Narayanapet,February,244657
Narayanapet,March,21907
Narayanapet,April,
Narayanapet,May,
Narayanapet,June,20907
Narayanapet,July,39820
Narayanapet,August,34777
Narayanapet,September,62841
Narayanapet,October,52309
Narayanapet,November,49597
Narayanapet,December,56031
Nirmal,January,368292
Nirmal,February,299646
Nirmal,March,253116
Nirmal,April,
Nirmal,May,
Nirmal,June,5040
Nirmal,July,9212
Nirmal,August,10336
Nirmal,September,13377
Nirmal,October,28586
Nirmal,November,73126
Nirmal,December,110808
Nizamabad,January,7540
Nizamabad,February,6400
Nizamabad,March,6750
Nizamabad,April,
Nizamabad,May,
Nizamabad,June,
Nizamabad,July,1620
Nizamabad,August,2020
Nizamabad,September,10050
Nizamabad,October,6310
Nizamabad,November,10900
Nizamabad,December,40400
Peddapalli,January,2945
Peddapalli,February,2315
Peddapalli,March,1450
Peddapalli,April,
Peddapalli,May,
Peddapalli,June,445
Peddapalli,July,250
Peddapalli,August,1250
Peddapalli,September,800
Peddapalli,October,600
Peddapalli,November,650
Peddapalli,December,1105
Rajanna Sircilla ,January,2298291
Rajanna Sircilla ,February,963871
Rajanna Sircilla ,March,885559
Rajanna Sircilla ,April,
Rajanna Sircilla ,May,
Rajanna Sircilla ,June,76026
Rajanna Sircilla ,July,60636
Rajanna Sircilla ,August,110783
Rajanna Sircilla ,September,121976
Rajanna Sircilla ,October,181929
Rajanna Sircilla ,November,391170
Rajanna Sircilla ,December,535298
Ranga Reddy,January, 
Ranga Reddy,February, 
Ranga Reddy,March, 
Ranga Reddy,April, 
Ranga Reddy,May, 
Ranga Reddy,June, 
Ranga Reddy,July, 
Ranga Reddy,August, 
Ranga Reddy,September, 
Ranga Reddy,October, 
Ranga Reddy,November, 
Ranga Reddy,December, 
Sangareddy ,January,213000
Sangareddy ,February,755000
Sangareddy ,March,235000
Sangareddy ,April,
Sangareddy ,May,
Sangareddy ,June,9500
Sangareddy ,July,27400
Sangareddy ,August,45400
Sangareddy ,September,47900
Sangareddy ,October,55400
Sangareddy ,November,149000
Sangareddy ,December,167000
Siddipet,January,473350
Siddipet,February,204885
Siddipet,March,123000
Siddipet,April,
Siddipet,May,
Siddipet,June,19846
Siddipet,July,23864
Siddipet,August,27307
Siddipet,September,30980
Siddipet,October,73367
Siddipet,November,72049
Siddipet,December,173000
Suryapet,January, 
Suryapet,February, 
Suryapet,March, 
Suryapet,April, 
Suryapet,May, 
Suryapet,June, 
Suryapet,July, 
Suryapet,August, 
Suryapet,September, 
Suryapet,October, 
Suryapet,November, 
Suryapet,December, 
Vikarabad,January, 
Vikarabad,February, 
Vikarabad,March, 
Vikarabad,April, 
Vikarabad,May, 
Vikarabad,June, 
Vikarabad,July, 
Vikarabad,August, 
Vikarabad,September, 
Vikarabad,October, 
Vikarabad,November, 
Vikarabad,December, 
Wanaparthy ,January,28131
Wanaparthy ,February,22342
Wanaparthy ,March,7050
Wanaparthy ,April,
Wanaparthy ,May,
Wanaparthy ,June,4050
Wanaparthy ,July,17092
Wanaparthy ,August,30860
Wanaparthy ,September,21375
Wanaparthy ,October,29683
Wanaparthy ,November,29036
Wanaparthy ,December,27057
Warangal (Rural),January,31550
Warangal (Rural),February,31050
Warangal (Rural),March,26050
Warangal (Rural),April,
Warangal (Rural),May,
Warangal (Rural),June,
Warangal (Rural),July,560
Warangal (Rural),August,870
Warangal (Rural),September,1550
Warangal (Rural),October,2060
Warangal (Rural),November,7550
Warangal (Rural),December,7530
Warangal (Urban),January,157630
Warangal (Urban),February,157950
Warangal (Urban),March,102520
Warangal (Urban),April,
Warangal (Urban),May,
Warangal (Urban),June,
Warangal (Urban),July,7300
Warangal (Urban),August,9150
Warangal (Urban),September,12050
Warangal (Urban),October,18350
Warangal (Urban),November,91120
Warangal (Urban),December,92455
Yadadri Bhongir,January,493002
Yadadri Bhongir,February,527311
Yadadri Bhongir,March,125380
Yadadri Bhongir,April,
Yadadri Bhongir,May,
Yadadri Bhongir,June,76480
Yadadri Bhongir,July,25375
Yadadri Bhongir,August,110587
Yadadri Bhongir,September,110595
Yadadri Bhongir,October,481320
Yadadri Bhongir,November,381150
Yadadri Bhongir,December,321254
