District,Month,Visitors
Narayanapet,May,0
Narayanapet,June,0
Narayanapet,July,0
Narayanapet,August,0
Narayanapet,September,0
Narayanapet,October,0
Narayanapet,November,0
Narayanapet,December,0
Medak,January,0
Medak,February,0
Medak,March,0
Medak,April,0
Medak,May,0
Medak,June,0
Medak,July,0
Medak,August,0
Medak,September,0
Medak,October,0
Medak,November,0
Medak,December,0
Sangareddy,January,0
Sangareddy,February,0
Sangareddy,March,0
Sangareddy,April,0
Sangareddy,May,0
Sangareddy,June,0
Sangareddy,July,0
Sangareddy,August,0
Sangareddy,September,0
Sangareddy,October,0
Sangareddy,November,0
Sangareddy,December,0
Siddipet,January,0
Siddipet,February,0
Siddipet,March,0
Siddipet,April,0
Siddipet,May,0
Siddipet,June,0
Siddipet,July,0
Siddipet,August,0
Siddipet,September,0
Siddipet,October,0
Siddipet,November,0
Siddipet,December,0
Nalgonda & Suryapet,January,0
Nalgonda & Suryapet,February,0
Nalgonda & Suryapet,March,0
Nalgonda & Suryapet,April,0
Nalgonda & Suryapet,May,0
Nalgonda & Suryapet,June,0
Nalgonda & Suryapet,July,0
Nalgonda & Suryapet,August,0
Nalgonda & Suryapet,September,0
Nalgonda & Suryapet,October,0
Nalgonda & Suryapet,November,0
Nalgonda & Suryapet,December,0
Yadadri Bhongir,January,0
Yadadri Bhongir,February,29
Yadadri Bhongir,March,0
Yadadri Bhongir,April,0
Yadadri Bhongir,May,0
Yadadri Bhongir,June,0
Yadadri Bhongir,July,7
Yadadri Bhongir,August,0
Yadadri Bhongir,September,0
Yadadri Bhongir,October,0
Yadadri Bhongir,November,0
Yadadri Bhongir,December,0
Nizamabad,January,0
Nizamabad,February,0
Nizamabad,March,0
Nizamabad,April,0
Nizamabad,May,0
Nizamabad,June,0
Nizamabad,July,0
Nizamabad,August,0
Nizamabad,September,0
Nizamabad,October,0
Nizamabad,November,0
Nizamabad,December,0
Kamareddy,January,0
Kamareddy,February,0
Kamareddy,March,0
Kamareddy,April,0
Kamareddy,May,0
Kamareddy,June,0
Kamareddy,July,0
Kamareddy,August,0
Kamareddy,September,0
Kamareddy,October,0
Kamareddy,November,0
Kamareddy,December,0
Hanumakonda,January,5
Hanumakonda,February,7
Hanumakonda,March,9
Hanumakonda,April,9
Hanumakonda,May,10
Hanumakonda,June,8
Hanumakonda,July,9
Hanumakonda,August,10
Hanumakonda,September,8
Hanumakonda,October,10
Hanumakonda,November,10
Hanumakonda,December,10
Warangal (Rural),January,6
Warangal (Rural),February,6
Warangal (Rural),March,6
Warangal (Rural),April,8
Warangal (Rural),May,10
Warangal (Rural),June,6
Warangal (Rural),July,8
Warangal (Rural),August,9
Warangal (Rural),September,9
Warangal (Rural),October,10
Warangal (Rural),November,11
Warangal (Rural),December,10
Jangann,January,0
Jangann,February,0
Jangann,March,0
Jangann,April,0
Jangann,May,0
Jangann,June,0
Jangann,July,0
Jangann,August,0
Jangann,September,0
Jangann,October,0
Jangann,November,0
Jangann,December,0
Jayashankar Bhoopalpally,January,0
Jayashankar Bhoopalpally,February,0
Jayashankar Bhoopalpally,March,0
Jayashankar Bhoopalpally,April,0
Jayashankar Bhoopalpally,May,0
Jayashankar Bhoopalpally,June,0
Jayashankar Bhoopalpally,July,0
Jayashankar Bhoopalpally,August,0
Jayashankar Bhoopalpally,September,0
Jayashankar Bhoopalpally,October,0
Jayashankar Bhoopalpally,November,0
Jayashankar Bhoopalpally,December,0
Mahabubabad,January,0
Mahabubabad,February,0
Mahabubabad,March,0
Mahabubabad,April,0
Mahabubabad,May,0
Mahabubabad,June,0
Mahabubabad,July,0
Mahabubabad,August,0
Mahabubabad,September,0
Mahabubabad,October,0
Mahabubabad,November,0
Mahabubabad,December,0
Mulugu,January,10
Mulugu,February,8
Mulugu,March,15
Mulugu,April,15
Mulugu,May,13
Mulugu,June,8
Mulugu,July,8
Mulugu,August,10
Mulugu,September,10
Mulugu,October,10
Mulugu,November,10
Mulugu,December,10
